Attractive,Oval_Face,Pale_Skin,Young,Narrow_Eyes,Arched_Eyebrows,Big_Lips,High_Cheekbones,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,onehot,count
0,0,0,1,0,0,0,0,0,0,0,0,000100000000,9728
0,0,0,0,0,0,0,0,0,0,0,0,000000000000,7052
1,0,0,1,0,0,0,0,0,0,0,0,100100000000,5215
0,0,0,1,0,0,0,0,1,0,0,0,000100001000,4907
1,0,0,1,0,0,0,0,1,0,0,0,100100001000,3799
1,0,0,1,0,0,0,0,0,0,1,0,100100000010,3717
0,0,0,1,0,0,0,0,0,0,1,0,000100000010,3516
1,1,0,1,0,0,0,1,0,0,0,0,110100010000,3337
1,1,0,1,0,0,0,1,0,0,1,0,110100010010,3304
1,1,0,1,0,0,0,1,1,0,0,0,110100011000,3200
0,0,0,0,0,0,0,0,0,0,0,1,000000000001,2942
0,0,0,0,0,0,0,1,0,0,0,0,000000010000,2840
1,1,0,1,0,0,0,1,0,1,0,0,110100010100,2695
1,0,0,1,0,0,0,1,0,0,0,0,100100010000,2608
0,0,0,1,0,0,0,1,0,0,0,0,000100010000,2385
1,0,0,1,0,0,0,1,0,0,1,0,100100010010,2213
1,1,0,1,0,0,0,0,0,0,0,0,110100000000,2196
1,0,0,1,0,1,0,0,0,0,0,0,100101000000,2135
1,0,0,1,0,0,0,1,1,0,0,0,100100011000,2069
1,1,0,1,0,0,0,0,1,0,0,0,110100001000,2000
1,1,0,1,0,0,0,0,0,0,1,0,110100000010,1999
0,0,0,1,0,0,1,0,0,0,0,0,000100100000,1897
0,0,0,0,0,0,0,1,0,0,0,1,000000010001,1897
0,1,0,1,0,0,0,0,0,0,0,0,010100000000,1875
1,0,0,1,0,1,0,1,0,0,0,0,100101010000,1775
0,0,0,1,0,0,0,1,1,0,0,0,000100011000,1691
1,0,0,1,0,0,0,1,0,1,0,0,100100010100,1661
1,1,0,1,0,1,0,1,0,1,0,0,110101010100,1654
0,0,0,0,0,0,0,0,1,0,0,0,000000001000,1573
1,0,0,1,0,0,0,0,0,1,0,0,100100000100,1562
1,0,0,1,0,0,1,0,0,0,0,0,100100100000,1484
1,0,0,1,0,1,0,1,0,1,0,0,100101010100,1477
0,0,0,1,0,0,1,0,1,0,0,0,000100101000,1474
1,1,0,1,0,1,0,1,0,0,0,0,110101010000,1390
0,1,0,1,0,0,0,1,0,0,0,0,010100010000,1386
1,0,0,1,0,1,1,0,0,0,0,0,100101100000,1343
1,0,0,1,0,1,0,0,0,0,1,0,100101000010,1328
0,1,0,0,0,0,0,0,0,0,0,0,010000000000,1294
0,1,0,0,0,0,0,1,0,0,0,0,010000010000,1277
1,1,0,1,0,1,0,1,0,0,1,0,110101010010,1260
0,1,0,1,0,0,0,0,1,0,0,0,010100001000,1252
0,0,0,1,0,0,0,0,0,1,0,0,000100000100,1240
0,0,0,0,0,0,0,0,0,0,1,0,000000000010,1232
1,0,0,1,0,1,0,1,0,0,1,0,100101010010,1230
1,0,0,1,0,1,1,1,0,0,0,0,100101110000,1180
0,0,0,1,1,0,0,0,0,0,0,0,000110000000,1178
1,0,0,1,0,1,1,1,1,0,0,0,100101111000,1142
1,0,0,1,0,1,0,0,1,0,0,0,100101001000,1125
0,0,0,1,0,0,0,1,0,0,1,0,000100010010,1115
1,1,0,1,0,1,0,1,1,0,0,0,110101011000,1102
1,0,0,1,0,1,0,1,1,0,0,0,100101011000,1100
0,0,0,0,1,0,0,0,0,0,0,0,000010000000,1088
1,0,0,1,0,0,1,0,1,0,0,0,100100101000,1082
0,1,0,1,0,0,0,1,1,0,0,0,010100011000,1079
1,0,0,1,0,1,1,1,0,0,1,0,100101110010,1058
1,0,0,1,0,0,1,0,0,0,1,0,100100100010,1056
1,1,0,1,0,0,0,0,0,1,0,0,110100000100,1007
1,0,0,1,0,1,1,0,1,0,0,0,100101101000,990
0,0,0,1,0,1,0,0,0,0,0,0,000101000000,975
1,0,0,1,0,1,0,0,0,1,0,0,100101000100,971
1,0,0,1,0,1,1,0,0,0,1,0,100101100010,896
1,0,0,1,0,1,1,1,0,1,0,0,100101110100,889
0,0,0,0,0,0,0,1,1,0,0,0,000000011000,863
0,0,0,0,0,0,1,0,0,0,0,0,000000100000,846
0,0,0,1,0,0,1,1,1,0,0,0,000100111000,830
0,0,0,1,0,1,1,1,1,0,0,0,000101111000,798
0,0,0,1,0,0,1,1,0,0,0,0,000100110000,786
0,1,0,1,0,0,0,0,0,0,1,0,010100000010,782
0,0,0,0,0,0,0,1,0,0,1,0,000000010010,765
0,0,0,1,0,0,1,0,0,0,1,0,000100100010,713
